Anio,Departamento,Sexo,CasosEstimados_Predichos
2025,Amazonas,Masculino,71
2025,Amazonas,Femenino,-81
2025,Ancash,Masculino,87
2025,Ancash,Femenino,-65
2025,Apurimac,Masculino,35
2025,Apurimac,Femenino,-117
2025,Arequipa,Masculino,173
2025,Arequipa,Femenino,21
2025,Ayacucho,Masculino,25
2025,Ayacucho,Femenino,-127
2025,Cajamarca,Masculino,28
2025,Cajamarca,Femenino,-124
2025,Callao,Masculino,280
2025,Callao,Femenino,128
2025,Cusco,Masculino,46
2025,Cusco,Femenino,-106
2025,Huancavelica,Masculino,2
2025,Huancavelica,Femenino,-150
2025,Huanuco,Masculino,62
2025,Huanuco,Femenino,-90
2025,Ica,Masculino,164
2025,Ica,Femenino,12
2025,Junin,Masculino,115
2025,Junin,Femenino,-37
2025,La Libertad,Masculino,200
2025,La Libertad,Femenino,48
2025,Lambayeque,Masculino,121
2025,Lambayeque,Femenino,-31
2025,Lima,Masculino,1356
2025,Lima,Femenino,1203
2025,Loreto,Masculino,359
2025,Loreto,Femenino,207
2025,Madre de Dios,Masculino,44
2025,Madre de Dios,Femenino,-108
2025,Moquegua,Masculino,21
2025,Moquegua,Femenino,-131
2025,Pasco,Masculino,20
2025,Pasco,Femenino,-133
2025,Piura,Masculino,79
2025,Piura,Femenino,-73
2025,Puno,Masculino,27
2025,Puno,Femenino,-125
2025,San Martin,Masculino,56
2025,San Martin,Femenino,-96
2025,Tacna,Masculino,25
2025,Tacna,Femenino,-127
2025,Tumbes,Masculino,15
2025,Tumbes,Femenino,-137
2025,Ucayali,Masculino,105
2025,Ucayali,Femenino,-47
2026,Amazonas,Masculino,57
2026,Amazonas,Femenino,-95
2026,Ancash,Masculino,73
2026,Ancash,Femenino,-79
2026,Apurimac,Masculino,21
2026,Apurimac,Femenino,-131
2026,Arequipa,Masculino,159
2026,Arequipa,Femenino,7
2026,Ayacucho,Masculino,11
2026,Ayacucho,Femenino,-141
2026,Cajamarca,Masculino,14
2026,Cajamarca,Femenino,-138
2026,Callao,Masculino,266
2026,Callao,Femenino,114
2026,Cusco,Masculino,32
2026,Cusco,Femenino,-120
2026,Huancavelica,Masculino,-12
2026,Huancavelica,Femenino,-164
2026,Huanuco,Masculino,48
2026,Huanuco,Femenino,-104
2026,Ica,Masculino,150
2026,Ica,Femenino,-2
2026,Junin,Masculino,101
2026,Junin,Femenino,-51
